,Provider,group,DupClaimStates,DupClaimStatesNum,DupClaimMultiState
460,PRV55509,[351],"[1, 11, 36]",3,yes
461,PRV55514,[187],[36],1,no
462,PRV55516,[125],"[36, 45]",2,yes
463,PRV55518,[396],"[39, 31]",2,yes
464,PRV55531,[357 462 515 627 699],"[36, 5, 42, 45, 15]",5,yes
465,PRV55536,[114],"[36, 21]",2,yes
466,PRV55550,[230 414],"[36, 5]",2,yes
467,PRV55555,[212 358 575],"[49, 36, 29]",3,yes
468,PRV55567,[234],"[34, 36]",2,yes
469,PRV55659,[36],"[36, 31]",2,yes
470,PRV55661,[522],"[34, 36]",2,yes
471,PRV55662,[ 21 492],"[4, 5, 36]",3,yes
472,PRV55663,[470],"[11, 36]",2,yes
473,PRV55666,[575 604],"[34, 36]",2,yes
474,PRV55673,[132],"[26, 37]",2,yes
475,PRV55676,[142 214 240 372],"[36, 37, 39, 12, 15, 54]",6,yes
476,PRV55687,[496],"[1, 37]",2,yes
477,PRV55689,[ 82 276 284 305 466],"[3, 37, 39, 50, 22]",5,yes
478,PRV55690,[32],"[37, 7]",2,yes
479,PRV55691,[444],"[5, 37]",2,yes
480,PRV55715,[226],"[11, 37]",2,yes
481,PRV55737,[19],"[11, 37]",2,yes
482,PRV55755,[31],"[37, 15]",2,yes
483,PRV55811,[117],"[37, 39]",2,yes
484,PRV55817,[676],"[24, 37]",2,yes
485,PRV55821,[433],"[18, 38]",2,yes
486,PRV55832,[100],"[36, 54]",2,yes
487,PRV55833,[95],"[50, 38]",2,yes
488,PRV55834,[553],"[3, 45]",2,yes
489,PRV55835,[39],"[10, 38]",2,yes
490,PRV55836,[ 50 361],"[33, 36, 38, 45, 50]",5,yes
491,PRV55849,[417 430 497],"[19, 11, 21, 38]",4,yes
492,PRV55850,[638],"[34, 38]",2,yes
493,PRV55851,[228],"[5, 38]",2,yes
494,PRV55864,[344],"[10, 38]",2,yes
495,PRV55869,[352],"[5, 38]",2,yes
496,PRV55891,[506 621 671],"[42, 4, 5, 39]",4,yes
497,PRV55893,[117],"[37, 39]",2,yes
498,PRV55896,[93],"[11, 39]",2,yes
499,PRV55897,[ 23 573],"[10, 39]",2,yes
500,PRV55903,[271],"[14, 39]",2,yes
501,PRV55905,[101 221 450],"[33, 39, 8, 49, 31]",5,yes
502,PRV55907,[360 502],"[11, 3, 39]",3,yes
503,PRV55911,[ 13 703],"[4, 45, 39]",3,yes
504,PRV55912,[626],[39],1,no
505,PRV55914,[101 442 473],"[33, 39, 8, 9, 10, 31]",6,yes
506,PRV55916,[  2 446],"[10, 45, 39]",3,yes
507,PRV55930,[109],"[36, 39]",2,yes
508,PRV55933,[ 97 283 600],"[26, 45, 14, 39]",4,yes
509,PRV55939,[365 581],"[39, 23]",2,yes
510,PRV55942,[673],"[5, 54]",2,yes
511,PRV55943,[219 328],"[1, 45, 39]",3,yes
512,PRV55944,[151],"[18, 39]",2,yes
513,PRV55956,[626],[39],1,no
514,PRV55970,[294 305],"[37, 45, 39]",3,yes
515,PRV55971,[ 56  92 111],"[4, 39, 11, 14, 50]",5,yes
516,PRV55978,[ 71 123 290 356 447 464 489 589],"[33, 5, 39, 8, 10, 45, 15, 26, 31]",9,yes
517,PRV55981,[128],"[24, 39]",2,yes
518,PRV55990,[495],"[5, 39]",2,yes
519,PRV55996,[27 72],"[49, 45, 39]",3,yes
520,PRV56001,[333 557 693],"[19, 11, 36, 39]",4,yes
521,PRV56002,[138],[39],1,no
522,PRV56003,[287],"[17, 39]",2,yes
523,PRV56007,[138 456 586],"[10, 5, 39]",3,yes
524,PRV56012,[158],"[10, 52, 4, 39]",4,yes
525,PRV56014,[208 264],"[8, 36]",2,yes
526,PRV56018,[301 371],"[5, 45, 39]",3,yes
527,PRV56103,[190 463 647],"[17, 26, 44, 39]",4,yes
528,PRV56105,[ 47 310 480 505],"[36, 5, 39, 11, 20, 31]",6,yes
529,PRV56123,[240 424],"[33, 39, 37, 15]",4,yes
530,PRV56129,[625],"[45, 39]",2,yes
531,PRV56130,[77],"[14, 39]",2,yes
532,PRV56131,[17],"[3, 39]",2,yes
533,PRV56134,[427 555 648 658 670],"[6, 39, 49, 18, 26]",5,yes
534,PRV56156,[336],"[45, 54]",2,yes
535,PRV56207,[683],"[41, 34]",2,yes
536,PRV56220,[64],"[42, 30]",2,yes
537,PRV56225,[170],"[10, 42]",2,yes
538,PRV56243,[196 411 587],"[33, 42, 10, 45]",4,yes
539,PRV56249,[449],"[10, 42]",2,yes
540,PRV56253,[397],"[42, 6]",2,yes
541,PRV56256,[385],"[10, 42]",2,yes
542,PRV56259,[142 292],"[5, 42, 37, 54]",4,yes
543,PRV56260,[ 42 488 570],"[42, 2, 44, 5]",4,yes
544,PRV56264,[107],"[49, 42]",2,yes
545,PRV56265,[163],"[42, 22]",2,yes
546,PRV56268,[ 65 268],"[42, 52]",2,yes
547,PRV56274,[337],"[42, 21]",2,yes
548,PRV56285,[149],"[50, 42]",2,yes
549,PRV56335,[182],"[42, 15]",2,yes
550,PRV56339,[515],"[42, 36]",2,yes
551,PRV56347,[471 676],"[24, 33, 37]",3,yes
552,PRV56350,[ 18  49 191 642],"[1, 35, 43, 45, 50, 23, 24]",7,yes
553,PRV56354,[373],"[49, 43]",2,yes
554,PRV56416,[113 199 420 422 459 468 520 532],"[36, 10, 11, 44, 12, 14, 49, 18, 23, 25, 26]",11,yes
555,PRV56421,[412 570],"[26, 44, 42]",3,yes
556,PRV56428,[512],"[44, 36]",2,yes
557,PRV56432,[540],"[18, 23]",2,yes
558,PRV56437,[213 474 552],"[44, 30, 14, 23]",4,yes
559,PRV56438,[253 278 314],"[5, 11, 44, 45, 15, 26, 31]",7,yes
560,PRV56442,[516 603],"[18, 37, 44, 5]",4,yes
561,PRV56445,[209 550],"[10, 44, 52]",3,yes
562,PRV56461,[494],"[44, 45]",2,yes
563,PRV56469,[122],"[18, 14]",2,yes
564,PRV56478,[386 469 470 583 615],"[36, 6, 11, 44, 14, 49, 52]",7,yes
565,PRV56481,[162 281 463 601],"[7, 39, 10, 44, 50]",5,yes
566,PRV56533,[388],"[24, 44]",2,yes
567,PRV56548,[318 335],"[18, 11, 44, 45]",4,yes
568,PRV56550,[644],"[21, 45]",2,yes
569,PRV56555,[191 294],"[35, 45, 39]",3,yes
570,PRV56556,[197 596 597],"[32, 34, 11, 23]",4,yes
571,PRV56560,[  2 147 167 186 232 237 272 361 394 437 517],"[2, 5, 39, 10, 45, 14, 16, 49, 50, 24, 31]",11,yes
572,PRV56563,[16],"[5, 45]",2,yes
573,PRV56570,[432],"[45, 5]",2,yes
574,PRV56575,[ 72 125 167 220 482 639],"[36, 39, 45, 14, 52, 22]",6,yes
575,PRV56577,[231 336],"[1, 45, 54]",3,yes
576,PRV56583,[306],"[5, 45]",2,yes
577,PRV56584,[650],"[45, 15]",2,yes
578,PRV56588,[194 301 398],"[17, 26, 45, 39]",4,yes
579,PRV56591,[494],"[44, 45]",2,yes
580,PRV56592,[493 563],"[52, 45]",2,yes
581,PRV56605,[335],"[11, 45]",2,yes
582,PRV56606,[362],"[33, 45]",2,yes
583,PRV56628,[299],"[32, 11]",2,yes
584,PRV56630,[338],"[19, 45]",2,yes
585,PRV56632,[127],"[10, 45]",2,yes
586,PRV56643,[327 467],"[33, 45, 7]",3,yes
587,PRV56647,[ 97 265 308 462],"[36, 39, 10, 45, 28]",5,yes
588,PRV56668,[139],"[49, 45]",2,yes
589,PRV56669,[192],"[9, 45]",2,yes
590,PRV56684,[193],[45],1,no
591,PRV56685,[280 541],"[1, 45, 22]",3,yes
592,PRV56703,[547],"[34, 45]",2,yes
593,PRV56706,[269],"[34, 45]",2,yes
594,PRV56710,[260],"[45, 5]",2,yes
595,PRV56730,[ 13 196],"[42, 45, 39]",3,yes
596,PRV56732,[6],"[24, 45]",2,yes
597,PRV56733,[622],"[11, 45]",2,yes
598,PRV56738,[257],"[3, 45]",2,yes
599,PRV56748,[210 219 407],"[16, 34, 45, 39]",4,yes
600,PRV56762,[622],"[11, 45]",2,yes
601,PRV56763,[106 493],"[10, 45]",2,yes
602,PRV56768,[205],[45],1,no
603,PRV56772,[377],"[34, 45]",2,yes
604,PRV56777,[530],"[11, 45]",2,yes
605,PRV56789,[98],"[36, 45]",2,yes
606,PRV56793,[83],"[32, 36]",2,yes
607,PRV56803,[661],"[45, 14]",2,yes
608,PRV56809,[391],"[19, 45]",2,yes
609,PRV56811,[553],"[3, 45]",2,yes
610,PRV56818,[546],"[50, 45]",2,yes
611,PRV56819,[612],"[10, 45]",2,yes
612,PRV56826,[699],"[36, 45]",2,yes
613,PRV56877,[205 395 486],"[34, 45, 22]",3,yes
614,PRV56895,[136 217 374 511],"[33, 5, 45, 15]",4,yes
615,PRV56909,[491],"[5, 45]",2,yes
616,PRV56910,[339],"[21, 45]",2,yes
617,PRV56918,[253],"[45, 44, 5]",3,yes
618,PRV57016,[63],"[45, 23]",2,yes
619,PRV57018,[374],[45],1,no
620,PRV57023,[154 402],"[51, 45, 46]",3,yes
621,PRV57024,[675],"[42, 45]",2,yes
622,PRV57025,[146],"[45, 7]",2,yes
623,PRV57030,[ 44 211 490 663],"[33, 5, 45, 16, 21, 54]",6,yes
624,PRV57031,[193],[45],1,no
625,PRV57034,[625],"[45, 39]",2,yes
626,PRV57049,[ 76 609],"[33, 45, 23]",3,yes
627,PRV57081,[84],"[45, 15]",2,yes
628,PRV57098,[350],"[50, 45]",2,yes
629,PRV57101,[323 478],"[51, 4, 13, 46]",4,yes
630,PRV57102,[428],"[10, 46]",2,yes
631,PRV57104,[154],"[45, 46]",2,yes
632,PRV57112,[326 694],"[25, 36, 46]",3,yes
633,PRV57120,[12],"[46, 14]",2,yes
634,PRV57126,[262],"[33, 46]",2,yes
635,PRV57129,[608],"[19, 29]",2,yes
636,PRV57157,[368 655],"[16, 5, 47]",3,yes
637,PRV57158,[571],"[10, 47]",2,yes
638,PRV57166,[221 358],"[49, 36, 39]",3,yes
639,PRV57172,[469],"[49, 11]",2,yes
640,PRV57173,[107 144 499 688],"[6, 42, 49, 50, 51, 23]",6,yes
641,PRV57174,[355],"[49, 26]",2,yes
642,PRV57177,[ 27 373],"[49, 43, 39]",3,yes
643,PRV57188,[624],"[34, 19]",2,yes
644,PRV57191,[139 508 616],"[49, 36, 45]",3,yes
645,PRV57196,[679],"[10, 34, 26]",3,yes
646,PRV57204,[312 658],"[49, 5, 39]",3,yes
647,PRV57205,[254],"[1, 10]",2,yes
648,PRV57223,[329 605],"[49, 19, 1]",3,yes
649,PRV57225,[157 291],"[49, 3, 22]",3,yes
650,PRV57230,[243],"[49, 14]",2,yes
651,PRV57231,[555],"[49, 39]",2,yes
652,PRV57251,[485],"[49, 5]",2,yes
653,PRV57284,[177],"[49, 23]",2,yes
654,PRV57293,[422],"[49, 44]",2,yes
655,PRV57295,[309],"[49, 36]",2,yes
656,PRV57303,[466],"[50, 37]",2,yes
657,PRV57307,[276],"[50, 37]",2,yes
658,PRV57310,[ 49  69 105 251 544 678],"[33, 5, 43, 14, 49, 50, 22]",7,yes
659,PRV57316,[218],"[50, 30]",2,yes
660,PRV57317,[34],"[50, 10]",2,yes
661,PRV57322,[403],"[50, 29]",2,yes
662,PRV57334,[546 687],"[50, 5, 45]",3,yes
663,PRV57341,[ 46  95 635],"[38, 50, 52, 22, 28]",5,yes
664,PRV57344,[144],"[49, 50]",2,yes
665,PRV57345,[135 381],"[50, 52, 5]",3,yes
666,PRV57397,[350],"[50, 45]",2,yes
667,PRV57398,[111 281],"[50, 44, 39]",3,yes
668,PRV57406,[249],"[51, 15]",2,yes
669,PRV57409,[342 656],"[51, 7]",2,yes
670,PRV57425,[53],"[51, 3]",2,yes
671,PRV57433,[402],"[51, 45]",2,yes
672,PRV57437,[115],"[3, 51]",2,yes
673,PRV57481,[ 79 363 367 526],"[33, 4, 15, 51, 21, 28]",6,yes
674,PRV57487,[ 22 478],"[51, 36, 13]",3,yes
675,PRV57489,[566],"[36, 31]",2,yes
676,PRV57492,[ 54 268 320],"[10, 42, 14, 52, 31]",5,yes
677,PRV57495,[563],"[52, 45]",2,yes
678,PRV57502,[209 393 472],"[44, 7, 52, 23]",4,yes
679,PRV57521,[562],"[52, 21]",2,yes
680,PRV57525,[35],"[52, 22]",2,yes
681,PRV57527,[135 150 583],"[50, 11, 52, 38]",4,yes
682,PRV57530,[ 46 293 521],"[50, 52, 22, 28, 29]",5,yes
683,PRV57543,[366 426 639],"[21, 45, 52, 5]",4,yes
684,PRV57547,[103],[52],1,no
685,PRV57548,[124 303 364 453],"[33, 34, 5, 8, 52]",5,yes
686,PRV57555,[487],"[10, 52]",2,yes
687,PRV57569,[484],"[9, 52]",2,yes
688,PRV57593,[440],"[52, 14]",2,yes
689,PRV57631,[579],"[10, 52]",2,yes
690,PRV57636,[461],"[52, 5]",2,yes
691,PRV57638,[315],"[10, 52]",2,yes
692,PRV57709,[202 689],"[10, 36, 45]",3,yes
693,PRV57711,[ 48 123],"[45, 31]",2,yes
694,PRV57715,[266 443],"[33, 45, 22]",3,yes
