,Provider,PotentialFraud,AvgDuration,NumOfPt,NumOfClm,ClmPerPt,TotalRev,RevPerPt,ClmNoPhy,ClmAllPhy,ClmNoProc,ClmPerDay
884,PRV52235,No,0.0,2,2,1.0,970,485.0,0,0,2,2
885,PRV52236,No,1.93,13,14,1.08,5780,444.62,0,0,14,14
886,PRV52237,No,1.95,38,38,1.0,7670,201.84,0,4,38,35
887,PRV52238,No,0.45,10,11,1.1,1530,153.0,0,2,11,11
888,PRV52240,No,2.31,61,62,1.02,25250,413.93,1,6,62,54
889,PRV52241,No,1.74,22,23,1.05,5690,258.64,0,4,23,22
890,PRV52242,No,3.35,30,31,1.03,13770,459.0,0,2,31,29
891,PRV52246,No,2.63,47,67,1.43,26610,566.17,0,5,67,62
892,PRV52247,No,0.73,48,49,1.02,10970,228.54,0,2,49,44
893,PRV52248,No,4.21,21,24,1.14,12860,612.38,0,2,24,22
894,PRV52249,No,4.43,41,47,1.15,25560,623.41,0,5,47,44
895,PRV52251,No,0.0,4,4,1.0,270,67.5,0,0,4,4
896,PRV52252,No,1.31,26,26,1.0,2200,84.62,0,2,26,25
897,PRV52253,No,0.0,1,1,1.0,80,80.0,0,0,1,1
898,PRV52254,No,2.81,30,31,1.03,4010,133.67,0,2,31,29
899,PRV52255,No,0.1,7,10,1.43,720,102.86,0,1,10,10
900,PRV52256,No,0.0,1,1,1.0,50,50.0,0,0,1,1
901,PRV52257,No,2.27,14,15,1.07,4440,317.14,0,0,15,15
902,PRV52260,No,1.35,62,63,1.02,12930,208.55,0,7,63,58
903,PRV52261,No,0.0,1,1,1.0,200,200.0,0,0,1,1
904,PRV52262,No,0.81,92,112,1.22,27980,304.13,0,14,112,100
905,PRV52263,No,0.0,3,3,1.0,630,210.0,0,1,3,3
906,PRV52264,No,0.04,21,25,1.19,4440,211.43,0,0,25,25
907,PRV52265,No,4.73,27,30,1.11,279972,10369.33,0,2,13,29
908,PRV52266,No,7.46,30,37,1.23,477780,15926.0,0,2,17,37
909,PRV52267,No,4.9,10,10,1.0,89580,8958.0,0,2,4,10
910,PRV52271,No,1.11,19,19,1.0,3810,200.53,0,1,19,19
911,PRV52272,No,0.0,8,8,1.0,4210,526.25,0,0,8,8
912,PRV52273,No,0.0,11,11,1.0,4420,401.82,0,1,11,11
913,PRV52274,No,0.74,17,38,2.24,7810,459.41,0,2,38,37
914,PRV52275,No,0.96,57,101,1.77,27490,482.28,0,15,101,88
915,PRV52276,No,1.46,62,68,1.1,18080,291.61,0,6,68,58
916,PRV52278,No,5.69,16,16,1.0,252088,15755.5,0,1,8,15
917,PRV52279,No,5.48,77,83,1.08,843740,10957.66,0,10,49,75
918,PRV52281,No,4.76,41,41,1.0,451788,11019.22,0,6,16,40
919,PRV52282,No,6.0,6,6,1.0,59340,9890.0,0,0,2,6
920,PRV52284,No,1.72,32,39,1.22,5500,171.88,0,2,39,38
921,PRV52285,No,5.89,19,19,1.0,158224,8327.58,0,1,13,19
922,PRV52286,No,3.4,5,5,1.0,95340,19068.0,0,0,0,5
923,PRV52288,No,0.08,12,13,1.08,2810,234.17,0,1,13,13
924,PRV52289,No,3.25,4,4,1.0,22272,5568.0,0,0,3,4
925,PRV52290,No,3.1,10,10,1.0,78680,7868.0,0,1,5,10
926,PRV52291,No,4.39,17,18,1.06,146156,8597.41,0,0,8,18
927,PRV52293,No,3.0,7,7,1.0,4170,595.71,0,1,7,7
928,PRV52294,No,4.57,7,7,1.0,61476,8782.29,0,0,3,7
929,PRV52295,No,5.2,5,5,1.0,24340,4868.0,0,0,3,5
930,PRV52296,No,3.5,2,2,1.0,14136,7068.0,0,0,1,2
931,PRV52298,No,1.75,144,218,1.51,118294,821.49,0,16,213,161
932,PRV52299,No,1.19,255,601,2.36,158610,622.0,4,39,601,291
933,PRV52300,No,2.76,19,21,1.11,62384,3283.37,0,0,18,20
934,PRV52302,No,2.17,30,46,1.53,89960,2998.67,0,3,39,43
935,PRV52303,No,1.17,313,392,1.25,367986,1175.67,0,41,383,243
936,PRV52304,No,1.26,88,184,2.09,63910,726.25,1,20,184,144
937,PRV52306,No,0.53,15,15,1.0,7030,468.67,0,2,15,15
938,PRV52309,No,1.95,88,170,1.93,45550,517.61,0,13,170,137
939,PRV52310,No,0.85,190,454,2.39,108290,569.95,4,28,454,266
940,PRV52311,No,0.75,23,28,1.22,7770,337.83,0,2,28,28
941,PRV52312,No,1.14,112,214,1.91,80360,717.5,0,14,214,155
942,PRV52313,No,1.63,196,504,2.57,148180,756.02,2,32,504,271
943,PRV52314,No,2.3,192,223,1.16,477274,2485.8,0,22,199,173
944,PRV52315,No,1.55,66,85,1.29,67410,1021.36,0,9,83,75
945,PRV52317,No,2.0,21,25,1.19,30936,1473.14,0,3,23,25
946,PRV52318,No,1.51,37,39,1.05,10110,273.24,0,2,39,37
947,PRV52319,No,1.37,29,30,1.03,7800,268.97,0,3,30,26
948,PRV52323,No,1.12,179,190,1.06,50210,280.5,1,14,190,158
949,PRV52326,No,3.57,13,14,1.08,79314,6101.08,0,1,12,14
950,PRV52328,No,0.91,28,35,1.25,19640,701.43,0,4,35,34
951,PRV52331,No,1.33,49,61,1.24,73214,1494.16,0,10,54,57
952,PRV52332,No,1.48,62,64,1.03,20880,336.77,0,4,64,59
953,PRV52334,No,0.9,49,67,1.37,122544,2500.9,0,7,62,63
954,PRV52335,No,1.4,87,242,2.78,112406,1292.02,1,18,240,172
955,PRV52336,No,1.3,78,86,1.1,27330,350.38,0,8,86,76
956,PRV52341,No,1.51,122,135,1.11,45720,374.75,1,12,135,114
957,PRV52342,No,2.55,184,218,1.18,694070,3772.12,1,9,186,169
958,PRV52344,No,0.84,54,130,2.41,297234,5504.33,0,10,112,112
959,PRV52346,No,2.6,57,68,1.19,206926,3630.28,0,8,56,59
960,PRV52348,No,3.04,36,67,1.86,112662,3129.5,1,3,63,56
961,PRV52349,No,1.52,94,99,1.05,20600,219.15,1,10,99,83
962,PRV52350,No,1.92,29,40,1.38,46316,1597.1,1,2,38,39
963,PRV52351,No,1.28,362,425,1.17,105140,290.44,0,36,425,248
964,PRV52352,No,1.44,32,32,1.0,9710,303.44,0,1,32,30
965,PRV52353,No,2.02,45,48,1.07,156858,3485.73,0,2,44,45
966,PRV52354,No,0.98,33,66,2.0,19730,597.88,0,3,66,62
967,PRV52355,No,1.16,26,63,2.42,24570,945.0,0,9,63,57
968,PRV52356,No,1.81,63,98,1.56,22650,359.52,1,6,98,87
969,PRV52357,No,1.78,83,105,1.27,107594,1296.31,0,6,100,88
970,PRV52358,No,3.0,17,18,1.06,5280,310.59,0,2,18,18
971,PRV52359,No,2.59,98,107,1.09,471576,4812.0,0,11,84,90
972,PRV52361,No,0.96,145,158,1.09,45300,312.41,1,12,158,129
973,PRV52362,No,1.23,133,154,1.16,135762,1020.77,0,10,150,127
974,PRV52365,No,1.33,381,739,1.94,204380,536.43,1,60,739,311
975,PRV52366,No,1.73,140,216,1.54,308070,2200.5,1,19,200,166
976,PRV52367,No,1.27,180,297,1.65,161392,896.62,2,32,295,205
977,PRV52369,No,1.44,358,547,1.53,165470,462.21,2,52,547,275
978,PRV52371,No,1.21,50,72,1.44,17880,357.6,0,7,72,66
979,PRV52372,No,2.08,76,124,1.63,321006,4223.76,1,3,106,106
980,PRV52373,No,2.26,22,23,1.05,46914,2132.45,0,4,20,23
981,PRV52374,No,1.83,102,228,2.24,69670,683.04,1,21,228,170
982,PRV52377,No,0.68,44,44,1.0,13770,312.95,0,2,44,43
983,PRV52378,No,4.42,12,12,1.0,15124,1260.33,0,1,10,12
984,PRV52380,No,5.0,4,4,1.0,280,70.0,0,0,4,4
985,PRV52381,No,2.29,31,80,2.58,33690,1086.77,1,12,80,76
986,PRV52384,No,0.0,32,33,1.03,8300,259.38,0,3,33,33
987,PRV52385,No,0.73,19,22,1.16,7200,378.95,0,2,22,22
988,PRV52386,No,1.95,161,237,1.47,56140,348.7,1,25,237,171
989,PRV52387,No,2.32,39,63,1.62,135684,3479.08,0,5,56,59
990,PRV52389,No,1.66,139,171,1.23,45110,324.53,0,20,171,132
991,PRV52390,No,2.25,34,36,1.06,6530,192.06,0,3,36,34
992,PRV52391,No,2.64,15,22,1.47,9230,615.33,0,1,22,22
993,PRV52392,No,1.39,54,127,2.35,91540,1695.19,0,9,125,107
994,PRV52393,No,2.21,62,91,1.47,209630,3381.13,2,9,80,85
995,PRV52394,No,2.25,96,118,1.23,59284,617.54,0,13,116,96
996,PRV52395,No,1.52,444,912,2.05,271510,611.51,1,78,912,341
997,PRV52397,No,4.25,8,8,1.0,1080,135.0,0,0,8,8
998,PRV52398,No,2.5,41,48,1.17,110758,2701.41,0,3,42,43
999,PRV52399,No,0.54,277,434,1.57,119950,433.03,0,32,434,265
1000,PRV52400,No,1.77,120,231,1.92,65220,543.5,0,14,231,181
1001,PRV52401,No,1.04,54,141,2.61,83402,1544.48,0,16,139,121
1002,PRV52402,No,2.22,185,209,1.13,618358,3342.48,0,18,179,160
1003,PRV52403,No,1.6,84,216,2.57,65376,778.29,0,18,215,166
1004,PRV52404,No,2.63,26,27,1.04,68246,2624.85,0,1,25,26
1005,PRV52405,No,3.07,71,89,1.25,212676,2995.44,0,13,78,78
1006,PRV52406,No,0.98,44,63,1.43,13550,307.95,0,2,63,56
1007,PRV52407,No,0.53,18,43,2.39,16380,910.0,0,4,43,41
1008,PRV52408,No,1.03,12,29,2.42,4350,362.5,0,3,29,28
1009,PRV52409,No,0.0,15,16,1.07,2730,182.0,0,3,16,16
1010,PRV52410,No,0.07,23,58,2.52,24310,1056.96,1,7,58,52
1011,PRV52411,No,1.58,51,92,1.8,32430,635.88,0,5,92,83
1012,PRV52412,No,1.54,40,63,1.58,20410,510.25,0,4,63,57
1013,PRV52414,No,1.45,59,132,2.24,44150,748.31,0,13,132,109
1014,PRV52415,No,1.07,13,41,3.15,7890,606.92,0,5,41,40
1015,PRV52416,No,0.14,22,42,1.91,9880,449.09,0,5,42,39
1016,PRV52417,No,2.05,7,20,2.86,4330,618.57,0,0,20,19
1017,PRV52418,No,1.43,24,35,1.46,7880,328.33,0,2,35,33
1018,PRV52419,No,2.92,34,112,3.29,86012,2529.76,1,10,107,95
1019,PRV52421,No,2.01,63,95,1.51,33750,535.71,2,6,95,88
1020,PRV52422,No,2.84,33,58,1.76,26700,809.09,0,3,58,53
1021,PRV52423,No,1.22,30,54,1.8,11660,388.67,0,7,54,45
1022,PRV52425,No,0.0,8,23,2.88,3640,455.0,0,3,23,22
1023,PRV52427,No,1.53,12,19,1.58,40054,3337.83,1,0,19,18
1024,PRV52431,No,3.4,36,63,1.75,24000,666.67,1,0,63,57
1025,PRV52432,No,1.22,27,58,2.15,13000,481.48,0,4,58,50
1026,PRV52433,No,0.91,62,85,1.37,22230,358.55,0,8,85,74
1027,PRV52434,No,0.0,2,2,1.0,90,45.0,0,0,2,2
1028,PRV52435,No,2.1,25,70,2.8,20800,832.0,0,9,70,66
1029,PRV52436,No,1.59,22,44,2.0,10040,456.36,0,4,44,43
1030,PRV52437,No,0.26,26,43,1.65,11090,426.54,0,7,43,41
1031,PRV52439,No,0.58,64,121,1.89,29840,466.25,2,11,121,105
1032,PRV52440,No,2.92,8,12,1.5,5180,647.5,0,0,12,12
1033,PRV52441,No,1.04,53,94,1.77,21080,397.74,2,4,94,82
1034,PRV52443,No,0.0,1,1,1.0,10,10.0,0,0,1,1
1035,PRV52446,No,7.3,10,10,1.0,139680,13968.0,0,4,3,10
1036,PRV52448,No,0.0,2,2,1.0,170,85.0,0,0,2,2
1037,PRV52449,No,6.67,5,6,1.2,132408,26481.6,0,1,1,6
1038,PRV52450,No,1.37,232,298,1.28,82130,354.01,1,33,298,211
1039,PRV52451,No,2.4,17,20,1.18,11150,655.88,0,1,20,20
1040,PRV52452,No,1.35,136,274,2.01,91206,670.63,0,16,272,191
1041,PRV52453,No,0.0,1,1,1.0,20,20.0,0,0,1,1
1042,PRV52454,No,0.2,14,15,1.07,1540,110.0,0,1,15,14
1043,PRV52455,No,1.8,45,76,1.69,24480,544.0,0,15,76,72
1044,PRV52456,No,1.57,7,7,1.0,1370,195.71,0,0,7,7
1045,PRV52457,No,4.44,9,9,1.0,119544,13282.67,1,1,4,9
1046,PRV52458,No,5.0,1,1,1.0,28068,28068.0,0,0,0,1
1047,PRV52459,No,5.28,49,50,1.02,557932,11386.37,0,9,23,48
1048,PRV52460,No,5.31,9,13,1.44,103884,11542.67,0,0,6,13
1049,PRV52461,No,3.57,7,7,1.0,55476,7925.14,0,0,5,6
1050,PRV52462,No,4.5,2,2,1.0,6068,3034.0,0,0,1,2
1051,PRV52463,No,4.0,1,1,1.0,6068,6068.0,0,0,0,1
1052,PRV52464,No,8.5,2,2,1.0,14136,7068.0,0,0,0,2
1053,PRV52466,No,8.54,11,13,1.18,152884,13898.55,0,1,6,13
1054,PRV52468,No,1.95,21,21,1.0,35654,1697.81,0,3,20,21
1055,PRV52469,No,1.41,150,184,1.23,111108,740.72,0,15,180,144
1056,PRV52470,No,0.0,3,3,1.0,270,90.0,0,0,3,3
1057,PRV52471,No,0.12,8,8,1.0,1740,217.5,0,2,8,8
1058,PRV52472,No,3.34,57,61,1.07,213066,3738.0,0,13,51,54
1059,PRV52473,No,5.0,4,4,1.0,3870,967.5,0,0,4,4
1060,PRV52474,No,4.35,35,37,1.06,239258,6835.94,0,6,21,32
1061,PRV52476,No,2.96,26,26,1.0,93808,3608.0,0,1,23,25
1062,PRV52478,No,2.27,52,55,1.06,37180,715.0,1,6,54,50
1063,PRV52480,No,1.03,29,30,1.03,49690,1713.45,0,2,29,30
1064,PRV52482,No,0.0,1,1,1.0,40,40.0,0,0,1,1
1065,PRV52483,No,1.02,61,223,3.66,52660,863.28,1,19,223,166
1066,PRV52484,No,0.92,10,13,1.3,1860,186.0,0,1,13,12
1067,PRV52485,No,0.0,4,5,1.25,1640,410.0,0,0,5,5
1068,PRV52486,No,1.87,58,69,1.19,22250,383.62,0,6,69,61
1069,PRV52487,No,1.23,127,177,1.39,52150,410.63,0,15,177,148
1070,PRV52488,No,1.11,130,183,1.41,45350,348.85,0,17,183,153
1071,PRV52490,No,2.35,16,17,1.06,4990,311.88,0,1,17,16
1072,PRV52491,No,1.48,57,63,1.11,16680,292.63,0,5,63,61
1073,PRV52492,No,1.82,33,34,1.03,7830,237.27,1,2,34,34
1074,PRV52493,No,0.0,16,16,1.0,3970,248.12,0,0,16,16
1075,PRV52494,No,0.0,1,1,1.0,20,20.0,0,0,1,1
1076,PRV52495,No,3.53,14,15,1.07,111616,7972.57,0,1,8,14
1077,PRV52499,No,2.19,119,157,1.32,166546,1399.55,1,9,152,127
1078,PRV52500,No,1.17,111,126,1.14,94136,848.07,1,12,122,106
1079,PRV52501,No,1.26,16,19,1.19,4940,308.75,0,0,19,19
1080,PRV52503,No,2.03,63,78,1.24,78500,1246.03,0,11,73,69
1081,PRV52506,No,1.62,12,13,1.08,2190,182.5,0,1,13,13
1082,PRV52507,No,0.21,24,29,1.21,7350,306.25,0,1,29,28
1083,PRV52508,No,1.16,36,37,1.03,32826,911.83,1,2,35,35
1084,PRV52509,No,1.13,26,63,2.42,120418,4631.46,0,2,59,58
1085,PRV52510,No,0.0,22,26,1.18,4340,197.27,0,0,26,25
1086,PRV52512,No,1.94,19,31,1.63,6090,320.53,1,1,31,30
1087,PRV52513,No,0.0,18,20,1.11,3870,215.0,0,2,20,20
1088,PRV52514,No,1.33,13,15,1.15,6660,512.31,0,1,15,14
1089,PRV52515,No,0.0,17,17,1.0,2490,146.47,0,0,17,17
1090,PRV52517,No,0.0,26,32,1.23,11030,424.23,0,0,32,30
1091,PRV52518,No,1.43,50,51,1.02,73508,1470.16,1,2,50,47
1092,PRV52519,No,2.27,72,100,1.39,143888,1998.44,0,4,95,84
1093,PRV52520,No,1.88,51,121,2.37,40300,790.2,0,12,121,101
1094,PRV52521,No,1.29,88,113,1.28,25160,285.91,0,5,113,102
1095,PRV52523,No,0.0,3,3,1.0,480,160.0,0,0,3,3
1096,PRV52525,No,0.0,2,2,1.0,150,75.0,0,0,2,2
1097,PRV52526,No,0.0,1,1,1.0,90,90.0,0,0,1,1
1098,PRV52527,No,1.74,73,160,2.19,49330,675.75,0,0,160,118
1099,PRV52528,No,1.08,16,26,1.62,6460,403.75,0,4,26,25
1100,PRV52529,No,0.0,8,12,1.5,2120,265.0,0,0,12,12
1101,PRV52530,No,2.0,9,10,1.11,6278,697.56,0,0,9,9
1102,PRV52531,No,2.0,5,5,1.0,3000,600.0,0,0,5,5
1103,PRV52532,No,0.44,15,16,1.07,2610,174.0,0,2,16,16
1104,PRV52533,No,0.3,27,43,1.59,7790,288.52,0,2,43,43
1105,PRV52535,No,1.17,12,18,1.5,7290,607.5,0,6,18,18
1106,PRV52536,No,8.0,1,1,1.0,15068,15068.0,0,1,0,1
1107,PRV52537,No,19.0,1,1,1.0,58068,58068.0,0,0,0,1
1108,PRV52539,No,4.14,12,14,1.17,4550,379.17,0,3,14,13
1109,PRV52540,No,0.0,4,7,1.75,3370,842.5,0,1,7,6
1110,PRV52541,No,6.4,5,5,1.0,46340,9268.0,0,1,2,5
1111,PRV52542,No,1.27,44,62,1.41,16030,364.32,0,6,62,58
1112,PRV52543,No,1.25,89,171,1.92,48130,540.79,1,13,171,134
1113,PRV52544,No,3.83,6,6,1.0,40408,6734.67,0,0,4,6
1114,PRV52545,No,1.62,13,13,1.0,1570,120.77,0,0,13,13
1115,PRV52547,No,0.0,2,2,1.0,3020,1510.0,0,0,2,2
1116,PRV52548,No,2.8,15,15,1.0,44090,2939.33,0,3,12,15
1117,PRV52549,No,3.58,54,156,2.89,104278,1931.07,0,11,153,124
1118,PRV52551,No,1.6,5,5,1.0,920,184.0,0,0,5,5
1119,PRV52552,No,1.96,54,55,1.02,131808,2440.89,0,3,50,52
1120,PRV52553,No,4.25,8,8,1.0,66592,8324.0,0,0,5,8
1121,PRV52554,No,1.77,13,13,1.0,1970,151.54,0,1,13,13
1122,PRV52555,No,2.86,7,7,1.0,3600,514.29,0,1,7,7
1123,PRV52556,No,2.47,100,115,1.15,499090,4990.9,0,21,86,92
1124,PRV52557,No,1.82,9,11,1.22,970,107.78,0,0,11,11
1125,PRV52558,No,1.43,440,494,1.12,142120,323.0,2,30,493,278
1126,PRV52559,No,1.39,207,359,1.73,91280,440.97,2,20,359,230
1127,PRV52560,No,1.27,174,503,2.89,147320,846.67,0,37,503,271
1128,PRV52561,No,1.52,261,280,1.07,129790,497.28,2,23,280,203
1129,PRV52562,No,2.06,61,87,1.43,89350,1464.75,0,9,83,74
1130,PRV52563,No,1.77,246,473,1.92,175030,711.5,1,40,472,268
1131,PRV52564,No,2.71,21,21,1.0,45060,2145.71,0,3,19,21
1132,PRV52565,No,2.3,86,137,1.59,153778,1788.12,0,12,128,114
1133,PRV52566,No,1.91,135,139,1.03,275886,2043.6,0,16,126,111
1134,PRV52567,No,1.71,38,66,1.74,30150,793.42,0,4,66,62
1135,PRV52568,No,0.92,41,87,2.12,26160,638.05,0,4,87,76
1136,PRV52570,No,3.25,23,24,1.04,76734,3336.26,0,2,20,23
1137,PRV52571,No,1.69,429,508,1.18,162920,379.77,0,37,508,272
1138,PRV52572,No,13.33,3,3,1.0,4150,1383.33,0,0,3,3
1139,PRV52573,No,1.62,520,587,1.13,159680,307.08,0,0,586,296
1140,PRV52575,No,2.16,40,70,1.75,23880,597.0,0,2,70,66
1141,PRV52576,No,1.81,26,26,1.0,53054,2040.54,0,0,24,26
1142,PRV52577,No,5.25,8,8,1.0,2550,318.75,0,1,8,8
1143,PRV52579,No,0.0,9,9,1.0,1160,128.89,0,0,9,9
1144,PRV52580,No,0.87,37,39,1.05,7150,193.24,1,1,39,36
1145,PRV52581,No,1.64,135,142,1.05,40290,298.44,1,7,142,116
1146,PRV52582,No,5.17,23,23,1.0,211312,9187.48,0,6,14,23
1147,PRV52583,No,2.23,193,208,1.08,262210,1358.6,0,22,191,161
1148,PRV52584,No,2.7,51,54,1.06,60734,1190.86,1,2,51,46
1149,PRV52586,No,0.0,1,1,1.0,300,300.0,0,0,1,1
1150,PRV52587,No,1.59,68,137,2.01,39060,574.41,0,14,137,113
1151,PRV52588,No,3.34,37,50,1.35,194776,5264.22,0,7,40,45
1152,PRV52591,No,0.78,45,46,1.02,12950,287.78,0,3,46,43
1153,PRV52592,No,4.63,18,19,1.06,67096,3727.56,0,4,14,19
1154,PRV52596,No,1.0,2,2,1.0,400,200.0,0,0,2,2
1155,PRV52598,No,0.03,30,31,1.03,10520,350.67,0,2,31,29
1156,PRV52599,No,2.33,144,272,1.89,88840,616.94,0,22,272,195
1157,PRV52602,No,1.57,73,79,1.08,112214,1537.18,0,5,73,70
1158,PRV52604,No,0.0,7,7,1.0,3490,498.57,0,0,7,7
1159,PRV52605,No,1.47,401,1000,2.49,256900,640.65,1,85,999,344
1160,PRV52606,No,1.0,22,30,1.36,10260,466.36,0,2,30,30
1161,PRV52607,No,0.0,2,2,1.0,3400,1700.0,0,0,2,2
1162,PRV52608,No,3.0,1,1,1.0,4068,4068.0,0,0,1,1
1163,PRV52610,No,1.24,16,17,1.06,11238,702.38,0,1,17,17
1164,PRV52611,No,3.06,16,16,1.0,92372,5773.25,0,2,9,16
1165,PRV52614,No,1.47,94,156,1.66,42640,453.62,0,12,156,124
1166,PRV52615,No,3.11,9,9,1.0,20906,2322.89,0,1,8,9
1167,PRV52616,No,1.93,15,15,1.0,8640,576.0,0,0,15,15
1168,PRV52617,No,2.18,135,238,1.76,447308,3313.39,0,17,212,175
1169,PRV52621,No,3.84,42,45,1.07,202004,4809.62,0,4,31,41
1170,PRV52622,No,3.86,7,7,1.0,21282,3040.29,0,1,5,7
1171,PRV52623,No,1.32,125,235,1.88,213730,1709.84,1,18,231,179
1172,PRV52626,No,0.0,3,3,1.0,560,186.67,0,0,3,3
1173,PRV52627,No,5.0,5,5,1.0,49274,9854.8,1,0,4,5
1174,PRV52629,No,1.03,58,61,1.05,12460,214.83,0,5,61,56
1175,PRV52631,No,1.32,804,1057,1.31,323940,402.91,3,86,1057,346
1176,PRV52633,No,1.35,224,379,1.69,101960,455.18,3,28,379,242
1177,PRV52634,No,5.26,79,87,1.1,481826,6099.06,0,1,57,77
1178,PRV52636,No,1.38,21,21,1.0,6980,332.38,0,1,21,21
1179,PRV52638,No,0.0,1,1,1.0,400,400.0,0,0,1,1
1180,PRV52639,No,2.97,33,37,1.12,10240,310.3,0,1,37,35
1181,PRV52640,No,1.21,65,66,1.02,11140,171.38,0,5,66,60
1182,PRV52641,No,2.43,91,97,1.07,208808,2294.59,0,8,86,85
1183,PRV52643,No,1.27,11,11,1.0,5090,462.73,0,0,11,11
1184,PRV52644,No,3.68,29,31,1.07,80212,2765.93,0,2,25,30
1185,PRV52645,No,1.36,367,408,1.11,111110,302.75,2,40,408,259
1186,PRV52646,No,2.93,87,104,1.2,337614,3880.62,0,9,88,96
1187,PRV52647,No,1.15,73,75,1.03,78666,1077.62,0,5,71,64
1188,PRV52651,No,2.75,4,4,1.0,36294,9073.5,0,0,2,4
1189,PRV52653,No,3.21,13,14,1.08,73222,5632.46,0,1,12,14
1190,PRV52654,No,2.62,171,177,1.04,517718,3027.59,1,21,145,142
1191,PRV52656,No,1.42,631,775,1.23,241720,383.07,4,56,775,330
1192,PRV52657,No,0.61,61,121,1.98,29600,485.25,2,13,121,106
1193,PRV52658,No,2.23,36,39,1.08,14960,415.56,0,1,39,39
1194,PRV52659,No,0.83,24,24,1.0,3330,138.75,0,3,24,22
1195,PRV52660,No,1.08,329,558,1.7,147650,448.78,0,39,558,288
1196,PRV52661,No,1.32,233,247,1.06,76350,327.68,0,0,247,173
1197,PRV52662,No,1.63,18,19,1.06,14926,829.22,0,2,18,19
1198,PRV52663,No,1.2,272,576,2.12,182420,670.66,2,48,576,288
1199,PRV52665,No,1.25,416,607,1.46,148060,355.91,4,43,607,295
1200,PRV52666,No,1.92,38,39,1.03,9000,236.84,0,0,39,38
1201,PRV52667,No,0.0,3,3,1.0,150,50.0,0,0,3,3
1202,PRV52668,No,4.14,6,7,1.17,1850,308.33,0,0,7,7
1203,PRV52669,No,0.0,1,1,1.0,300,300.0,0,0,1,1
1204,PRV52670,No,0.0,13,13,1.0,860,66.15,0,2,13,13
1205,PRV52671,No,0.0,2,2,1.0,240,120.0,0,0,2,2
1206,PRV52672,No,0.0,2,3,1.5,390,195.0,0,0,3,3
1207,PRV52673,No,1.24,52,87,1.67,19990,384.42,0,5,87,78
1208,PRV52674,No,0.0,3,3,1.0,730,243.33,0,1,3,3
1209,PRV52676,No,0.44,34,39,1.15,9840,289.41,0,0,39,37
1210,PRV52677,No,0.0,2,2,1.0,140,70.0,0,0,2,2
1211,PRV52678,No,2.46,51,74,1.45,25000,490.2,0,11,74,70
1212,PRV52679,No,1.94,36,53,1.47,16150,448.61,0,0,53,49
1213,PRV52681,No,0.0,3,3,1.0,460,153.33,0,0,3,3
1214,PRV52683,No,1.22,66,131,1.98,33460,506.97,0,9,131,108
1215,PRV52684,No,1.7,108,210,1.94,136000,1259.26,0,16,207,156
1216,PRV52686,No,4.44,8,9,1.12,1120,140.0,0,1,9,9
1217,PRV52687,No,2.24,25,41,1.64,68328,2733.12,0,4,37,39
1218,PRV52688,No,2.51,30,59,1.97,122228,4074.27,1,2,58,54
1219,PRV52689,No,0.0,12,12,1.0,1430,119.17,0,1,12,11
1220,PRV52691,No,2.94,15,17,1.13,25694,1712.93,0,1,15,17
1221,PRV52692,No,2.83,18,36,2.0,9930,551.67,0,2,36,35
1222,PRV52693,No,2.5,8,8,1.0,3920,490.0,0,0,8,8
1223,PRV52694,No,10.0,2,2,1.0,110,55.0,0,0,2,2
1224,PRV52695,No,0.0,5,5,1.0,200,40.0,0,0,5,5
1225,PRV52696,No,7.0,3,3,1.0,99204,33068.0,0,0,1,3
1226,PRV52697,No,0.0,5,5,1.0,650,130.0,0,1,5,5
1227,PRV52698,No,2.04,56,123,2.2,43318,773.54,1,11,122,101
1228,PRV52699,No,2.08,11,12,1.09,14218,1292.55,0,0,12,12
1229,PRV52700,No,2.37,16,30,1.88,12400,775.0,0,1,29,29
1230,PRV52701,No,1.07,55,96,1.75,25950,471.82,0,6,96,87
1231,PRV52702,No,2.46,24,28,1.17,6790,282.92,0,2,28,27
1232,PRV52703,No,1.0,4,4,1.0,2890,722.5,0,0,4,4
1233,PRV52704,No,1.42,73,159,2.18,52320,716.71,0,9,159,128
1234,PRV52706,No,4.46,25,26,1.04,35326,1413.04,0,3,24,24
1235,PRV52708,No,1.35,12,31,2.58,45810,3817.5,0,5,29,31
1236,PRV52709,No,3.08,4,13,3.25,2220,555.0,0,1,13,13
1237,PRV52710,No,0.64,26,28,1.08,4420,170.0,0,3,28,28
1238,PRV52711,No,1.57,18,28,1.56,9110,506.11,0,3,28,28
1239,PRV52713,No,1.93,21,60,2.86,14390,685.24,0,4,60,53
1240,PRV52714,No,0.4,5,5,1.0,710,142.0,0,1,5,5
1241,PRV52715,No,0.0,3,3,1.0,200,66.67,0,0,3,3
1242,PRV52717,No,1.81,87,129,1.48,233340,2682.07,1,6,117,108
1243,PRV52719,No,0.86,33,63,1.91,11150,337.88,0,0,63,57
1244,PRV52720,No,2.02,24,50,2.08,15130,630.42,0,3,50,44
1245,PRV52721,No,6.29,7,7,1.0,1810,258.57,0,1,7,7
1246,PRV52722,No,1.38,119,283,2.38,157452,1323.13,0,23,276,192
1247,PRV52723,No,1.92,93,181,1.95,239204,2572.09,2,14,172,142
1248,PRV52724,No,1.5,17,24,1.41,5040,296.47,1,3,23,24
1249,PRV52725,No,1.21,40,42,1.05,18960,474.0,0,4,42,39
